Id,Authors,Article Title,Journal Title,Journal Abbreviation,MedlinePgn,Volume,Date,PMID,Book Accession,DOI,Abstract,Publication Type,Query,Topic,Impact Factor > 8,Impact Factor Number
0,"RA. Burrell, N. McGranahan, J. Bartek and C. Swanton, ",The causes and consequences of genetic heterogeneity in cancer evolution.,Nature ,Nature,338-45,501(7467) ,(Sep. 2013). ,24048066,,DOI 10.1038/nature12625.,"Recent studies have revealed extensive genetic diversity both between and within tumours. This heterogeneity affects key cancer pathways, driving phenotypic variation, and poses a significant challenge to personalized cancer medicine. A major cause of genetic heterogeneity in cancer is genomic instability. This instability leads to an increased mutation rate and can shape the evolution of the cancer genome through a plethora of mechanisms. By understanding these mechanisms we can gain insight into the common pathways of tumour evolution that could support the development of future therapeutic strategies.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,69.504
1,"SL. Wood, M. Pernemalm, PA. Crosbie and AD. Whetton, ",The role of the tumor-microenvironment in lung cancer-metastasis and its relationship to potential therapeutic targets.,Cancer treatment reviews ,Cancer Treat Rev,558-66,40(4) ,(May. 2014). ,24176790,,DOI 10.1016/j.ctrv.2013.10.001.,"Non-small cell lung cancer (NSCLC) accounts for >80% of lung cancer cases and currently has an overall five-year survival rate of only 15%. Patients presenting with advanced stage NSCLC die within 18-months of diagnosis. Metastatic spread accounts for >70% of these deaths. Thus elucidation of the mechanistic basis of NSCLC-metastasis has potential to impact on patient quality of life and survival. Research on NSCLC metastasis has recently expanded to include non-cancer cell components of tumors-the stromal cellular compartment and extra-cellular matrix components comprising the tumor-microenvironment. Metastasis (from initial primary tumor growth through angiogenesis, intravasation, survival in the bloodstream, extravasation and metastatic growth) is an inefficient process and few released cancer cells complete the entire process. Micro-environmental interactions assist each of these steps and discovery of the mechanisms by which tumor cells co-operate with the micro-environment are uncovering key molecules providing either biomarkers or potential drug targets. The major sites of NSCLC metastasis are brain, bone, adrenal gland and the liver. The mechanistic basis of this tissue-tropism is beginning to be elucidated offering the potential to target stromal components of these tissues thus targeting therapy to the tissues affected. This review covers the principal steps involved in tumor metastasis. The role of cell-cell interactions, ECM remodeling and autocrine/paracrine signaling interactions between tumor cells and the surrounding stroma is discussed. The mechanistic basis of lung cancer metastasis to specific organs is also described. The signaling mechanisms outlined have potential to act as future drug targets minimizing lung cancer metastatic spread and morbidity.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,13.608
2,"D. Larrieu, S. Britton, M. Demir, R. Rodriguez and SP. Jackson, ",Chemical inhibition of NAT10 corrects defects of laminopathic cells.,"Science (New York, N.Y.) ",Science,527-32,344(6183) ,(May. 2014). ,24786082,,DOI 10.1126/science.1252651.,"Down-regulation and mutations of the nuclear-architecture proteins lamin A and C cause misshapen nuclei and altered chromatin organization associated with cancer and laminopathies, including the premature-aging disease Hutchinson-Gilford progeria syndrome (HGPS). Here, we identified the small molecule ""Remodelin"" that improved nuclear architecture, chromatin organization, and fitness of both human lamin A/C-depleted cells and HGPS-derived patient cells and decreased markers of DNA damage in these cells. Using a combination of chemical, cellular, and genetic approaches, we identified the acetyl-transferase protein NAT10 as the target of Remodelin that mediated nuclear shape rescue in laminopathic cells via microtubule reorganization. These findings provide insights into how NAT10 affects nuclear architecture and suggest alternative strategies for treating laminopathies and aging.","|Journal Article|Research Support, Non-U.S. Gov't","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,63.714
3,"M. Hidalgo, F. Amant, AV. Biankin, E. Budinská, AT. Byrne, C. Caldas, RB. Clarke, S. de Jong, J. Jonkers, GM. Mælandsmo, S. Roman-Roman, J. Seoane, L. Trusolino and A. Villanueva, ",Patient-derived xenograft models: an emerging platform for translational cancer research.,Cancer discovery ,Cancer Discov,998-1013,4(9) ,(Sep. 2014). ,25185190,,DOI 10.1158/2159-8290.CD-14-0001.,"Recently, there has been an increasing interest in the development and characterization of patient-derived tumor xenograft (PDX) models for cancer research. PDX models mostly retain the principal histologic and genetic characteristics of their donor tumor and remain stable across passages. These models have been shown to be predictive of clinical outcomes and are being used for preclinical drug evaluation, biomarker identification, biologic studies, and personalized medicine strategies. This article summarizes the current state of the art in this field, including methodologic issues, available collections, practical applications, challenges and shortcomings, and future directions, and introduces a European consortium of PDX models.",|Journal Article|Review,"""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,38.272
4,"BJ. Slotman, H. van Tinteren, JO. Praag, JL. Knegjens, SY. El Sharouni, M. Hatton, A. Keijser, C. Faivre-Finn and S. Senan, ",Use of thoracic radiotherapy for extensive stage small-cell lung cancer: a phase 3 randomised controlled trial.,"Lancet (London, England) ",Lancet,36-42,385(9962) ,(Jan. 2015). ,25230595,,DOI 10.1016/S0140-6736(14)61085-0.,"Most patients with extensive stage small-cell lung cancer (ES-SCLC) who undergo chemotherapy, and prophylactic cranial irradiation, have persistent intrathoracic disease. We assessed thoracic radiotherapy for treatment of this patient group.","|Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,202.731
5,"JD. Hayes and AT. Dinkova-Kostova, ",The Nrf2 regulatory network provides an interface between redox and intermediary metabolism.,Trends in biochemical sciences ,Trends Biochem Sci,199-218,39(4) ,(Apr. 2014). ,24647116,,DOI 10.1016/j.tibs.2014.02.002.,"Nuclear factor-erythroid 2 p45-related factor 2 (Nrf2, also called Nfe2l2) is a transcription factor that regulates the cellular redox status. Nrf2 is controlled through a complex transcriptional/epigenetic and post-translational network that ensures its activity increases during redox perturbation, inflammation, growth factor stimulation and nutrient/energy fluxes, thereby enabling the factor to orchestrate adaptive responses to diverse forms of stress. Besides mediating stress-stimulated induction of antioxidant and detoxification genes, Nrf2 contributes to adaptation by upregulating the repair and degradation of damaged macromolecules, and by modulating intermediary metabolism. In the latter case, Nrf2 inhibits lipogenesis, supports β-oxidation of fatty acids, facilitates flux through the pentose phosphate pathway, and increases NADPH regeneration and purine biosynthesis; these observations suggest Nrf2 directs metabolic reprogramming during stress.","|Journal Article|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,9.969
6,"SJ. Dovedi, AL. Adlard, G. Lipowska-Bhalla, C. McKenna, S. Jones, EJ. Cheadle, IJ. Stratford, E. Poon, M. Morrow, R. Stewart, H. Jones, RW. Wilkinson, J. Honeychurch and TM. Illidge, ",Acquired resistance to fractionated radiotherapy can be overcome by concurrent PD-L1 blockade.,Cancer research ,Cancer Res,5458-68,74(19) ,(Oct. 2014). ,25274032,,DOI 10.1158/0008-5472.CAN-14-1258.,"Radiotherapy is a major part in the treatment of most common cancers, but many patients experience local recurrence with metastatic disease. In evaluating response biomarkers, we found that low doses of fractionated radiotherapy led to PD-L1 upregulation on tumor cells in a variety of syngeneic mouse models of cancer. Notably, fractionated radiotherapy delivered in combination with αPD-1 or αPD-L1 mAbs generated efficacious CD8(+) T-cell responses that improved local tumor control, long-term survival, and protection against tumor rechallenge. These favorable outcomes were associated with induction of a tumor antigen-specific memory immune response. Mechanistic investigations showed that IFNγ produced by CD8(+) T cells was responsible for mediating PD-L1 upregulation on tumor cells after delivery of fractionated radiotherapy. Scheduling of anti-PD-L1 mAb was important for therapeutic outcome, with concomitant but not sequential administration with fractionated radiotherapy required to improve survival. Taken together, our results reveal the mechanistic basis for an adaptive response by tumor cells that mediates resistance to fractionated radiotherapy and its treatment failure. With attention to scheduling, combination immunoradiotherapy with radiotherapy and PD-1/PD-L1 signaling blockade may offer an immediate strategy for clinical evaluation to improve treatment outcomes.","|Journal Article|Research Support, Non-U.S. Gov't","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,11.036
7,"G. Biffi, D. Tannahill, J. McCafferty and S. Balasubramanian, ",Quantitative visualization of DNA G-quadruplex structures in human cells.,Nature chemistry ,Nat Chem,182-6,5(3) ,(Mar. 2013). ,23422559,,DOI 10.1038/nchem.1548.,"Four-stranded G-quadruplex nucleic acid structures are of great interest as their high thermodynamic stability under near-physiological conditions suggests that they could form in cells. Here we report the generation and application of an engineered, structure-specific antibody employed to quantitatively visualize DNA G-quadruplex structures in human cells. We show explicitly that G-quadruplex formation in DNA is modulated during cell-cycle progression and that endogenous G-quadruplex DNA structures can be stabilized by a small-molecule ligand. Together these findings provide substantive evidence for the formation of G-quadruplex structures in the genome of mammalian cells and corroborate the application of stabilizing ligands in a cellular context to target G-quadruplexes and intervene with their function.","|Journal Article|Research Support, Non-U.S. Gov't","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,24.274
8,"RJ. Lee, N. Ul-Ain-Tariq, A. Fusi, S. Bowyer and P. Lorigan, ",The role of chemotherapy in the modern management of melanoma.,Melanoma management ,Melanoma Manag,173-184,1(2) ,(Nov. 2014). ,30190822,,DOI 10.2217/mmt.14.20.,"The last 4 years have seen dramatic changes in the treatment of advanced melanoma, largely based on advances in targeted therapy and immunotherapy. This article examines the role of chemotherapy in the modern management of melanoma. We examine the evidence for promising new agents and discuss their position in the sequencing of treatment options for patients with advanced disease. In addition, we discuss the combination of chemotherapy with targeted treatments and immune therapies. Finally, we discuss future areas of research for ensuring that we maximize the potential of all agents available to us and identify new, effective treatments.",|Journal Article|Review,"""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,N,
9,"J. Okosun, C. Bödör, J. Wang, S. Araf, CY. Yang, C. Pan, S. Boller, D. Cittaro, M. Bozek, S. Iqbal, J. Matthews, D. Wrench, J. Marzec, K. Tawana, N. Popov, C. O'Riain, D. O'Shea, E. Carlotti, A. Davies, CH. Lawrie, A. Matolcsy, M. Calaminici, A. Norton, RJ. Byers, C. Mein, E. Stupka, TA. Lister, G. Lenz, S. Montoto, JG. Gribben, Y. Fan, R. Grosschedl, C. Chelala and J. Fitzgibbon, ",Integrated genomic analysis identifies recurrent mutations and evolution patterns driving the initiation and progression of follicular lymphoma.,Nature genetics ,Nat Genet,176-181,46(2) ,(Feb. 2014). ,24362818,,DOI 10.1038/ng.2856.,"Follicular lymphoma is an incurable malignancy, with transformation to an aggressive subtype representing a critical event during disease progression. Here we performed whole-genome or whole-exome sequencing on 10 follicular lymphoma-transformed follicular lymphoma pairs followed by deep sequencing of 28 genes in an extension cohort, and we report the key events and evolutionary processes governing tumor initiation and transformation. Tumor evolution occurred through either a 'rich' or 'sparse' ancestral common progenitor clone (CPC). We identified recurrent mutations in linker histone, JAK-STAT signaling, NF-κB signaling and B cell developmental genes. Longitudinal analyses identified early driver mutations in chromatin regulator genes (CREBBP, EZH2 and KMT2D (MLL2)), whereas mutations in EBF1 and regulators of NF-κB signaling (MYD88 and TNFAIP3) were gained at transformation. Collectively, this study provides new insights into the genetic basis of follicular lymphoma and the clonal dynamics of transformation and suggests that personalizing therapies to target key genetic alterations in the CPC represents an attractive therapeutic strategy.","|Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,41.307
10,"R. Eeles, C. Goh, E. Castro, E. Bancroft, M. Guy, AA. Al Olama, D. Easton and Z. Kote-Jarai, ",The genetic epidemiology of prostate cancer and its clinical implications.,Nature reviews. Urology ,Nat Rev Urol,18-31,11(1) ,(Jan. 2014). ,24296704,,DOI 10.1038/nrurol.2013.266.,"Worldwide, familial and epidemiological studies have generated considerable evidence of an inherited component to prostate cancer. Indeed, rare highly penetrant genetic mutations have been implicated. Genome-wide association studies (GWAS) have also identified 76 susceptibility loci associated with prostate cancer risk, which occur commonly but are of low penetrance. However, these mutations interact multiplicatively, which can result in substantially increased risk. Currently, approximately 30% of the familial risk is due to such variants. Evaluating the functional aspects of these variants would contribute to our understanding of prostate cancer aetiology and would enable population risk stratification for screening. Furthermore, understanding the genetic risks of prostate cancer might inform predictions of treatment responses and toxicities, with the goal of personalized therapy. However, risk modelling and clinical translational research are needed before we can translate risk profiles generated from these variants into use in the clinical setting for targeted screening and treatment.","|Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Review","""Manchester Cancer Research Centre"" OR ""University of Manchester"" OR ""Cancer research UK"" OR ""The Christie NHS Foundation Trust"" AND 2013[dp]:2014[dp]",Center,Y,69.504
